#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Garr201102_2,104,32800,12,6164
Garr201102_3,123,34688,10,6048
Garr201102_4,208,56016,29,6552
Garr201103_1,55,25012,10,5896
Garr201103_2,85,30440,10,6096
Garr201103_3,103,40820,10,6360
Garr201103_4,223,55748,18,6412
Garr201104_1,76,25448,10,6164
Garr201104_2,78,30680,9,6096
Garr201104_3,154,46092,17,6356
Garr201104_4,134,55748,19,6436
Garr201105_1,90,25792,10,6096
Garr201105_2,93,26504,10,6096
Garr201105_3,90,55540,15,6428
Garr201105_4,190,56020,25,6480
Garr201107_1,139,26288,12,6164
Garr201107_2,127,32084,12,6164
Garr201107_3,110,43476,17,6428
Garr201107_4,248,56444,34,6552
Garr201108_1,73,24220,10,6092
Garr201108_2,158,34136,11,6096
Garr201108_3,166,55396,35,6360
Garr201108_4,214,56492,46,6520
Garr201109_1,90,25664,9,6096
Garr201109_2,95,32568,12,6164
Garr201109_3,113,54856,13,6360
Garr201109_4,223,56716,26,6592
Garr201110_1,74,23952,10,6096
Garr201110_2,68,30048,10,6096
Garr201110_3,276,40424,17,6428
Garr201110_4,255,55948,22,6568
Garr201111_1,214,25752,11,6092
Garr201111_2,242,29580,11,6164
Garr201111_3,340,49648,19,6376
Garr201111_4,197,56596,25,6592
Garr201112_1,139,24472,10,6096
Garr201112_2,200,28628,411,6160
Garr201112_3,148,55380,392,6356
Garr201112_4,258,56500,402,6668
Garr201201_1,107,26176,355,5972
Garr201201_2,134,28364,344,6096
Garr201201_3,161,44276,329,6052
Garr201201_4,220,56640,336,6504
Geant2001_1,80,25608,57,6164
Geant2001_2,108,26328,31,6096
Geant2001_3,94,37052,19,6112
Geant2001_4,168,55936,107,6428
Geant2009_1,125,26796,8,6164
Geant2009_2,98,29344,10,6096
Geant2009_3,134,39356,18,6424
Geant2009_4,237,55992,65,6532
Geant2010_1,200,26676,10,6164
Geant2010_2,183,32348,10,6096
Geant2010_3,213,55304,12,6428
Geant2010_4,425,59596,25,6504
Geant2012_1,82,30376,11,6164
Geant2012_2,85,37572,11,6164
Geant2012_3,325,55540,12,6360
