#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Cudi_3,5372,78172,644,9176
Cudi_4,29175,113580,819,10756
Cwix_1,494,57084,28,6584
Cwix_2,1878,69112,55,6804
Cwix_3,10615,84204,212,8324
Cwix_4,30938,113556,1404,12172
Cynet_1,364,55132,38,6360
Cynet_2,355,56668,21,6616
Cynet_3,1185,68908,81,6880
Cynet_4,2038,71916,475,8836
Darkstrand_1,116,53004,14,6428
Darkstrand_2,373,57132,39,6348
Darkstrand_3,617,69012,108,7272
Darkstrand_4,1474,72208,225,8504
Dataxchange_1,3600000,120000000,48,6388
Dataxchange_2,245,56976,57,6668
Dataxchange_3,675,68944,366,8024
Dataxchange_4,3515,78392,1669,13160
Deltacom_1,279,55392,14,6424
Deltacom_2,299,55904,19,6392
Deltacom_3,1310,69048,84,6820
Deltacom_4,11531,86708,529,8776
DeutscheTelekom_1,150,55320,13,6360
DeutscheTelekom_2,146,55872,14,6508
DeutscheTelekom_3,687,68912,27,6592
DeutscheTelekom_4,2843,72056,111,8136
Dfn_1,173,56260,36,6560
Dfn_2,554,69028,94,7176
Dfn_3,4833,76272,286,8648
Dfn_4,3600000,120000000,3600000,120000000
DialtelecomCz_1,3600000,120000000,21,6028
DialtelecomCz_2,176,55800,12,6352
DialtelecomCz_3,3600000,120000000,359320,2920220
DialtelecomCz_4,1644,73184,234,8264
Digex_1,166,39760,11,6360
Digex_2,200,56376,27,6564
Digex_3,369,60000,44,6580
Digex_4,1983,68996,372,8100
Easynet_1,205,55448,17,6360
Easynet_2,322,56304,14,6432
Easynet_3,1091,68896,39,6568
Easynet_4,6825,76112,217,8148
Eenet_1,150,34124,17,6164
Eenet_2,67,32344,15,6120
Eenet_3,136,56100,26,6616
Eenet_4,305,61532,80,6868
EliBackbone_1,48,26140,12,6164
EliBackbone_2,61,35396,10,6048
EliBackbone_3,247,56464,19,6500
EliBackbone_4,151,56908,37,6348
Epoch_1,108,28284,11,6164
Epoch_2,48,38320,10,6044
Epoch_3,99,55624,12,6360
Epoch_4,295,59616,33,6552
Ernet_1,104,33720,12,6032
Ernet_2,138,55708,14,6304
Ernet_3,181,56004,18,6416
Ernet_4,819,69044,161,7616
Esnet_1,143,32424,8,6360
Esnet_2,276,56472,15,6536
Esnet_3,333,62360,24,6520
Esnet_4,3609,75892,226,8460
Eunetworks_1,115,25236,10,6164
Eunetworks_2,88,43568,13,6428
Eunetworks_3,219,54016,12,6424
Eunetworks_4,389,59532,25,6292
Evolink_1,310,57380,11,6360
Evolink_2,209,55868,13,6400
Evolink_3,427,61068,26,6436
Evolink_4,1747,71232,94,7632
Fatman_1,3600000,120000000,8,6360
Fatman_2,332,57008,91,7104
Fatman_3,483,62540,32,6592
Fatman_4,2786,74224,1009,10936
Fccn_1,394,57032,44,6476
Fccn_2,1513,68904,47,6872
Fccn_3,7531,80344,270,8640
Fccn_4,11398,92884,1398,12608
Forthnet_1,314,55556,18,6052
Forthnet_2,426,55932,15,6440
Forthnet_3,854,71024,45,6792
Forthnet_4,4984,74048,148,7428
Funet_1,308,30824,25,6096
Funet_2,249,55632,16,6320
Funet_3,332,56472,29,6688
Funet_4,450,61984,157,7296
Gambia_1,3600000,120000000,14,6308
Gambia_2,420,64368,39,6332
Gambia_3,348,60164,25,6480
Gambia_4,4736,82400,11987,104640
Garr199901_1,114,30696,11,6096
Garr199901_2,269,40004,39,6428
Garr199901_3,359,56504,49,6504
Garr199901_4,1167,69112,104,7064
Garr199904_1,90,34884,15,6108
Garr199904_2,3600000,120000000,19,6428
Garr199904_3,464,56024,27,6548
Garr199904_4,431,62036,118,6836
Garr199905_1,124,55344,26,6428
Garr199905_2,389,56104,19,6364
Garr199905_3,339,61956,39,6836
Garr199905_4,2915,72140,204,7624
Garr200109_1,364,48128,47,6428
Garr200109_2,384,55996,61,6536
Garr200109_3,1055,66980,86,6764
Garr200109_4,738,71260,110,7304
Garr200112_1,192,34488,32,6112
Garr200112_2,378,55896,39,6512
Garr200112_3,661,64500,43,6468
Garr200112_4,1356,69268,238,7400
Garr200212_1,160,49256,174,6120
Garr200212_2,184,57736,241,6360
Garr200212_3,344,59832,238,6460
Garr200212_4,1521,70988,848,8900
Garr200404_1,112,55148,214,6360
Garr200404_2,359,56920,269,6488
Garr200404_3,1615,69580,273,6844
Garr200404_4,3346,74136,484,8504
Garr200902_1,164,53604,272,6304
Garr200902_2,279,58296,251,6504
Garr200902_3,323,61708,751,6788
